Date,Environmental Temperature (°C),Relative Humidity (%),Hive Temperature (°C),Hive Humidity (%),Wind Speed (km/h),Honey Weight (kg),Total Weight (Hive + Bees + Honey) (kg),Extract Honey,Year
"January 26, 2024",23.61,77.26,21.12,82.47,3.76,4.3,29.3,False,Non-Ideal Conditions
"January 27, 2024",21.93,75.91,21.47,83.43,8.38,4.53,29.53,False,Non-Ideal Conditions
"January 28, 2024",19.89,84.34,23.58,80.28,9.24,4.69,29.69,False,Non-Ideal Conditions
"January 29, 2024",21.59,87.12,23.64,89.34,5.99,4.81,29.81,False,Non-Ideal Conditions
"January 30, 2024",27.81,77.44,20.81,94.53,4.49,5.0,30.0,False,Non-Ideal Conditions
"January 31, 2024",25.71,79.49,24.74,83.51,8.53,5.11,30.11,False,Non-Ideal Conditions
"February 1, 2024",27.56,76.28,24.04,91.49,3.19,5.21,30.21,False,Non-Ideal Conditions
"February 2, 2024",24.62,66.89,20.91,99.36,1.34,5.39,30.39,False,Non-Ideal Conditions
"February 3, 2024",29.26,71.68,23.22,81.52,3.89,5.59,30.59,False,Non-Ideal Conditions
"February 4, 2024",20.94,84.35,20.72,99.76,0.9,5.71,30.71,False,Non-Ideal Conditions
"February 5, 2024",21.47,81.28,24.68,95.48,1.94,5.89,30.89,False,Non-Ideal Conditions
"February 6, 2024",22.32,87.01,21.93,80.12,7.3,6.04,31.04,False,Non-Ideal Conditions
"February 7, 2024",22.0,80.73,24.17,98.67,9.2,6.22,31.22,False,Non-Ideal Conditions
"February 8, 2024",27.32,84.86,23.51,87.75,9.45,6.39,31.39,False,Non-Ideal Conditions
"February 9, 2024",23.71,81.2,20.4,91.32,2.3,6.58,31.58,False,Non-Ideal Conditions
"February 10, 2024",27.26,70.3,21.03,86.72,9.77,6.71,31.71,False,Non-Ideal Conditions
"February 11, 2024",19.12,70.99,22.93,87.2,5.23,6.93,31.93,False,Non-Ideal Conditions
"February 12, 2024",30.48,84.51,23.29,81.18,8.67,7.16,32.16,False,Non-Ideal Conditions
"February 13, 2024",23.78,66.04,20.56,88.34,3.04,7.25,32.25,False,Non-Ideal Conditions
"February 14, 2024",27.03,78.17,23.4,92.47,3.39,7.45,32.45,False,Non-Ideal Conditions
"February 15, 2024",25.1,65.66,23.61,98.96,6.61,7.63,32.63,False,Non-Ideal Conditions
"February 16, 2024",20.21,69.63,20.85,84.32,5.73,7.79,32.79,False,Non-Ideal Conditions
"February 17, 2024",27.84,71.47,22.1,88.03,1.82,8.02,33.02,False,Non-Ideal Conditions
"February 18, 2024",23.14,65.85,20.35,88.96,7.07,8.19,33.19,False,Non-Ideal Conditions
"February 19, 2024",23.33,76.4,21.06,87.86,4.15,8.34,33.34,False,Non-Ideal Conditions
"February 20, 2024",29.96,82.64,22.95,82.53,4.86,8.45,33.45,False,Non-Ideal Conditions
"February 21, 2024",25.14,73.28,23.58,84.25,4.54,8.64,33.64,False,Non-Ideal Conditions
"February 22, 2024",27.56,69.56,23.89,83.01,1.72,8.79,33.79,False,Non-Ideal Conditions
"February 23, 2024",21.35,82.22,23.56,88.34,2.44,9.0,34.0,False,Non-Ideal Conditions
"February 24, 2024",24.23,65.27,20.94,85.54,3.96,9.1,34.1,False,Non-Ideal Conditions
"February 25, 2024",28.23,76.61,22.14,94.22,8.4,9.27,34.27,False,Non-Ideal Conditions
"February 26, 2024",18.55,76.65,24.06,92.62,5.08,9.49,34.49,False,Non-Ideal Conditions
"February 27, 2024",18.25,86.03,20.8,82.94,7.6,9.61,34.61,False,Non-Ideal Conditions
"February 28, 2024",20.67,78.23,24.15,92.53,1.02,9.72,34.72,False,Non-Ideal Conditions
"March 1, 2024",19.93,75.21,23.83,87.02,9.13,9.92,34.92,False,Non-Ideal Conditions
"March 2, 2024",29.33,87.79,24.15,89.6,8.83,10.01,35.01,False,Non-Ideal Conditions
"March 3, 2024",23.63,68.89,24.6,99.18,2.46,10.24,35.24,False,Non-Ideal Conditions
"March 4, 2024",27.62,79.7,22.29,90.9,1.98,10.37,35.37,False,Non-Ideal Conditions
"March 5, 2024",23.83,85.08,24.91,89.77,9.19,10.46,35.46,False,Non-Ideal Conditions
"March 6, 2024",22.41,74.59,22.42,90.28,6.42,10.54,35.54,False,Non-Ideal Conditions
"March 7, 2024",25.39,68.74,20.67,87.44,9.12,10.65,35.65,False,Non-Ideal Conditions
"March 8, 2024",28.13,84.85,20.63,83.77,0.81,10.81,35.81,False,Non-Ideal Conditions
"March 9, 2024",24.89,68.99,23.79,94.76,4.11,10.97,35.97,False,Non-Ideal Conditions
"March 10, 2024",30.55,70.21,20.04,98.58,3.14,11.09,36.09,False,Non-Ideal Conditions
"March 11, 2024",26.51,82.96,22.74,86.5,5.29,11.2,36.2,False,Non-Ideal Conditions
"March 12, 2024",24.73,78.44,22.4,81.9,0.67,11.29,36.29,False,Non-Ideal Conditions
"March 13, 2024",24.63,72.57,23.68,99.15,6.45,11.52,36.52,False,Non-Ideal Conditions
"March 14, 2024",18.74,69.46,20.34,91.71,2.2,11.65,36.65,False,Non-Ideal Conditions
"March 15, 2024",22.55,78.94,20.7,83.13,3.81,11.84,36.84,False,Non-Ideal Conditions
"March 16, 2024",18.57,84.1,20.95,90.65,8.66,11.96,36.96,False,Non-Ideal Conditions
"March 17, 2024",23.78,85.41,23.83,95.62,1.93,12.15,37.15,False,Non-Ideal Conditions
"March 18, 2024",19.38,81.29,20.36,97.92,2.44,12.24,37.24,False,Non-Ideal Conditions
"March 19, 2024",24.45,75.0,23.77,98.69,2.36,12.46,37.46,False,Non-Ideal Conditions
"March 20, 2024",21.82,65.68,23.67,87.96,3.46,12.61,37.61,False,Non-Ideal Conditions
"March 21, 2024",24.48,66.0,20.51,81.1,9.45,12.69,37.69,False,Non-Ideal Conditions
"March 22, 2024",26.91,83.42,24.52,88.18,0.71,12.88,37.88,False,Non-Ideal Conditions
"March 23, 2024",25.34,72.84,21.95,80.22,0.39,13.09,38.09,False,Non-Ideal Conditions
"March 24, 2024",23.43,89.16,24.76,87.18,2.63,13.2,38.2,False,Non-Ideal Conditions
"March 25, 2024",30.79,72.6,20.23,95.79,3.2,13.42,38.42,False,Non-Ideal Conditions
"March 26, 2024",21.56,65.43,20.5,80.91,7.49,13.56,38.56,False,Non-Ideal Conditions
"March 27, 2024",27.97,81.87,22.87,87.31,3.4,13.68,38.68,False,Non-Ideal Conditions
"March 28, 2024",21.09,71.16,24.45,93.91,3.58,13.81,38.81,False,Non-Ideal Conditions
"March 29, 2024",18.61,89.05,21.82,82.61,8.77,13.95,38.95,False,Non-Ideal Conditions
"March 30, 2024",25.4,65.12,21.31,90.6,9.82,14.17,39.17,False,Non-Ideal Conditions
"March 31, 2024",27.84,88.11,22.22,80.53,5.26,14.37,39.37,False,Non-Ideal Conditions
"April 1, 2024",20.81,70.25,21.35,92.58,7.18,14.56,39.56,False,Non-Ideal Conditions
"April 2, 2024",24.52,67.31,20.62,86.03,3.45,14.71,39.71,False,Non-Ideal Conditions
"April 3, 2024",28.2,71.07,20.38,87.67,1.46,14.87,39.87,False,Non-Ideal Conditions
"April 4, 2024",24.01,78.96,24.81,98.28,0.88,14.95,39.95,False,Non-Ideal Conditions
"April 5, 2024",29.75,85.92,20.58,95.31,5.06,15.18,40.18,False,Non-Ideal Conditions
"April 6, 2024",27.26,68.28,21.98,99.95,2.96,15.31,40.31,False,Non-Ideal Conditions
"April 7, 2024",21.59,78.26,20.55,82.52,1.84,15.49,40.49,False,Non-Ideal Conditions
"April 8, 2024",26.61,66.27,23.63,89.78,7.78,15.58,40.58,False,Non-Ideal Conditions
"April 9, 2024",28.25,68.91,23.45,99.37,0.67,15.8,40.8,False,Non-Ideal Conditions
"April 10, 2024",24.17,83.47,20.57,91.84,1.9,15.89,40.89,False,Non-Ideal Conditions
"April 11, 2024",20.79,74.35,21.94,98.55,0.09,16.05,41.05,False,Non-Ideal Conditions
"April 12, 2024",25.59,85.46,21.87,82.02,8.7,16.26,41.26,False,Non-Ideal Conditions
"April 13, 2024",29.68,87.6,21.93,95.06,7.03,16.39,41.39,False,Non-Ideal Conditions
"April 14, 2024",20.63,67.01,24.77,84.95,0.42,16.5,41.5,False,Non-Ideal Conditions
"April 15, 2024",23.06,84.24,23.11,97.79,7.85,16.64,41.64,False,Non-Ideal Conditions
"April 16, 2024",25.24,71.62,21.25,95.29,6.3,16.77,41.77,False,Non-Ideal Conditions
"April 17, 2024",22.54,68.75,20.03,82.32,8.35,16.95,41.95,False,Non-Ideal Conditions
"April 18, 2024",21.08,86.72,21.81,90.1,8.69,17.04,42.04,False,Non-Ideal Conditions
"April 19, 2024",23.91,88.29,21.34,92.62,3.06,17.16,42.16,False,Non-Ideal Conditions
"April 20, 2024",30.61,74.62,22.25,91.8,5.07,17.35,42.35,False,Non-Ideal Conditions
"April 21, 2024",28.04,70.21,22.53,86.36,0.34,17.53,42.53,False,Non-Ideal Conditions
"April 22, 2024",25.41,84.26,24.01,89.03,5.82,17.73,42.73,False,Non-Ideal Conditions
"April 23, 2024",19.04,82.65,24.85,99.07,2.36,17.89,42.89,False,Non-Ideal Conditions
"April 24, 2024",25.26,70.43,24.15,97.82,8.59,18.08,43.08,False,Non-Ideal Conditions
"April 25, 2024",23.24,84.48,20.6,99.28,4.14,18.26,43.26,False,Non-Ideal Conditions
"April 26, 2024",21.85,75.44,20.5,91.14,8.26,18.34,43.34,False,Non-Ideal Conditions
"April 27, 2024",24.6,68.24,22.62,89.98,7.1,18.49,43.49,False,Non-Ideal Conditions
"April 28, 2024",27.31,67.26,21.49,93.87,5.17,18.6,43.6,False,Non-Ideal Conditions
"April 29, 2024",25.34,68.47,21.95,81.3,1.7,18.78,43.78,False,Non-Ideal Conditions
"April 30, 2024",20.17,68.39,20.6,84.87,5.56,5.0,43.94,True,Non-Ideal Conditions
"May 1, 2024",18.13,77.63,22.9,94.48,9.48,5.26,30.26,False,Non-Ideal Conditions
"May 2, 2024",23.03,86.29,24.58,81.08,9.96,5.52,30.52,False,Non-Ideal Conditions
"May 3, 2024",24.52,65.02,20.09,96.88,0.58,5.88,30.88,False,Non-Ideal Conditions
"May 4, 2024",20.84,88.34,23.94,88.8,9.53,6.24,31.24,False,Non-Ideal Conditions
"May 5, 2024",21.45,85.28,24.31,100.0,0.95,6.64,31.64,False,Non-Ideal Conditions
"May 6, 2024",26.08,71.58,21.33,87.97,6.68,6.91,31.91,False,Non-Ideal Conditions
"May 7, 2024",29.13,74.57,23.14,81.11,1.94,7.18,32.18,False,Non-Ideal Conditions
"May 8, 2024",25.74,87.76,21.49,91.49,4.54,7.61,32.61,False,Non-Ideal Conditions
"May 9, 2024",28.68,82.16,24.2,91.82,8.56,8.03,33.03,False,Non-Ideal Conditions
"May 10, 2024",30.08,68.14,21.41,87.28,3.68,8.32,33.32,False,Non-Ideal Conditions
"May 11, 2024",28.98,86.08,20.91,87.23,9.8,8.65,33.65,False,Non-Ideal Conditions
"May 12, 2024",18.8,88.01,24.96,95.39,2.41,8.9,33.9,False,Non-Ideal Conditions
"May 13, 2024",25.72,72.99,21.76,80.55,7.49,9.33,34.33,False,Non-Ideal Conditions
"May 14, 2024",26.46,87.1,22.17,84.84,2.87,9.51,34.51,False,Non-Ideal Conditions
"May 15, 2024",27.21,67.15,23.6,99.18,3.51,9.66,34.66,False,Non-Ideal Conditions
"May 16, 2024",28.7,86.96,23.12,93.0,5.81,10.11,35.11,False,Non-Ideal Conditions
"May 17, 2024",20.8,66.58,23.55,94.48,7.1,10.3,35.3,False,Non-Ideal Conditions
"May 18, 2024",21.1,73.19,21.98,91.01,3.14,10.74,35.74,False,Non-Ideal Conditions
"May 19, 2024",28.34,75.05,22.14,85.41,1.28,11.05,36.05,False,Non-Ideal Conditions
"May 20, 2024",30.14,72.86,24.19,99.19,5.89,11.42,36.42,False,Non-Ideal Conditions
"May 21, 2024",19.98,88.0,22.26,98.41,7.39,11.63,36.63,False,Non-Ideal Conditions
"May 22, 2024",22.32,65.3,21.18,96.99,3.34,11.84,36.84,False,Non-Ideal Conditions
"May 23, 2024",24.43,77.79,24.08,91.36,4.49,12.17,37.17,False,Non-Ideal Conditions
"May 24, 2024",18.93,78.84,21.93,97.19,5.66,12.59,37.59,False,Non-Ideal Conditions
"May 25, 2024",25.22,81.05,21.43,84.51,0.44,12.97,37.97,False,Non-Ideal Conditions
"May 26, 2024",21.86,78.86,22.42,82.13,2.35,13.16,38.16,False,Non-Ideal Conditions
"May 27, 2024",23.14,86.57,21.91,93.51,1.46,13.47,38.47,False,Non-Ideal Conditions
"May 28, 2024",18.44,66.05,24.75,88.79,2.14,13.69,38.69,False,Non-Ideal Conditions
"May 29, 2024",24.52,84.63,22.93,85.33,7.79,13.85,38.85,False,Non-Ideal Conditions
"May 30, 2024",30.61,78.01,20.07,92.75,8.92,14.07,39.07,False,Non-Ideal Conditions
"May 31, 2024",29.43,68.46,22.91,98.26,8.54,14.41,39.41,False,Non-Ideal Conditions
"June 1, 2024",25.17,79.35,22.86,86.28,0.45,14.81,39.81,False,Non-Ideal Conditions
"June 2, 2024",24.9,80.06,22.0,90.99,8.88,15.23,40.23,False,Non-Ideal Conditions
"June 3, 2024",19.37,81.16,23.56,97.07,1.21,15.61,40.61,False,Non-Ideal Conditions
"June 4, 2024",29.89,74.01,24.22,90.72,8.32,16.02,41.02,False,Non-Ideal Conditions
"June 5, 2024",25.06,71.01,23.21,95.51,5.25,16.25,41.25,False,Non-Ideal Conditions
"June 6, 2024",19.07,84.33,24.57,97.03,9.39,16.57,41.57,False,Non-Ideal Conditions
"June 7, 2024",18.4,73.2,24.13,98.22,9.51,16.95,41.95,False,Non-Ideal Conditions
"June 8, 2024",24.87,87.94,22.1,96.03,2.62,17.24,42.24,False,Non-Ideal Conditions
"June 9, 2024",27.6,86.11,22.5,95.38,9.99,17.43,42.43,False,Non-Ideal Conditions
"June 10, 2024",27.05,80.48,21.73,87.81,8.67,17.84,42.84,False,Non-Ideal Conditions
"June 11, 2024",22.78,79.82,21.84,90.74,5.83,18.07,43.07,False,Non-Ideal Conditions
"June 12, 2024",20.58,66.73,21.06,90.14,5.56,18.44,43.44,False,Non-Ideal Conditions
"June 13, 2024",29.92,73.45,21.9,86.0,2.62,18.61,43.61,False,Non-Ideal Conditions
"June 14, 2024",20.06,73.46,21.64,80.21,7.26,19.05,44.05,False,Non-Ideal Conditions
"June 15, 2024",25.97,67.48,23.67,96.74,2.99,19.22,44.22,False,Non-Ideal Conditions
"June 16, 2024",24.11,66.06,22.98,92.34,8.73,19.42,44.42,False,Non-Ideal Conditions
"June 17, 2024",20.49,69.06,20.87,96.67,5.04,19.63,44.63,False,Non-Ideal Conditions
"June 18, 2024",23.78,83.29,23.29,82.57,4.69,19.79,44.79,False,Non-Ideal Conditions
"June 19, 2024",20.44,88.34,21.01,94.62,9.72,20.0,45.0,False,Non-Ideal Conditions
"June 20, 2024",30.79,77.0,21.06,97.29,5.73,20.26,45.26,False,Non-Ideal Conditions
"June 21, 2024",19.19,71.38,22.43,99.49,0.69,20.7,45.7,False,Non-Ideal Conditions
"June 22, 2024",30.4,78.61,24.46,90.22,5.8,21.1,46.1,False,Non-Ideal Conditions
"June 23, 2024",19.37,86.72,21.1,85.63,6.09,21.52,46.52,False,Non-Ideal Conditions
"June 24, 2024",27.27,85.27,20.62,83.21,5.37,21.89,46.89,False,Non-Ideal Conditions
"June 25, 2024",19.48,81.47,20.46,99.93,8.57,22.3,47.3,False,Non-Ideal Conditions
"June 26, 2024",29.16,74.23,20.9,85.55,9.56,22.52,47.52,False,Non-Ideal Conditions
"June 27, 2024",18.52,88.33,24.71,80.06,9.92,22.71,47.71,False,Non-Ideal Conditions
"June 28, 2024",22.64,69.56,23.92,88.01,6.49,22.93,47.93,False,Non-Ideal Conditions
"June 29, 2024",25.95,88.12,21.79,82.29,6.52,23.1,48.1,False,Non-Ideal Conditions
"June 30, 2024",24.78,81.07,23.54,82.97,5.11,23.54,48.54,False,Non-Ideal Conditions
"July 1, 2024",22.9,79.01,20.18,81.03,3.66,23.97,48.97,False,Non-Ideal Conditions
"July 2, 2024",26.39,87.82,24.59,82.14,1.1,24.16,49.16,False,Non-Ideal Conditions
"July 3, 2024",18.4,74.28,20.51,80.32,5.63,24.51,49.51,False,Non-Ideal Conditions
"July 4, 2024",24.09,67.61,24.23,85.54,7.76,24.86,49.86,False,Non-Ideal Conditions
"July 5, 2024",30.23,70.92,20.95,83.89,9.34,25.15,50.15,False,Non-Ideal Conditions
"July 6, 2024",25.77,84.88,22.59,90.88,4.92,25.49,50.49,False,Non-Ideal Conditions
"July 7, 2024",23.62,79.57,20.18,80.69,2.84,25.79,50.79,False,Non-Ideal Conditions
"July 8, 2024",19.1,86.92,21.29,98.91,0.34,26.04,51.04,False,Non-Ideal Conditions
"July 9, 2024",27.97,78.81,22.63,89.51,2.22,26.19,51.19,False,Non-Ideal Conditions
"July 10, 2024",21.05,67.91,20.74,83.63,3.22,26.52,51.52,False,Non-Ideal Conditions
"July 11, 2024",21.43,74.38,23.59,89.17,1.92,26.77,51.77,False,Non-Ideal Conditions
"July 12, 2024",30.18,65.24,22.88,81.43,4.27,27.07,52.07,False,Non-Ideal Conditions
"July 13, 2024",23.64,86.08,20.35,87.85,5.57,27.25,52.25,False,Non-Ideal Conditions
"July 14, 2024",20.74,84.56,24.04,95.85,3.72,27.44,52.44,False,Non-Ideal Conditions
"July 15, 2024",25.75,76.72,21.68,95.92,4.13,27.87,52.87,False,Non-Ideal Conditions
"July 16, 2024",19.52,79.0,24.41,80.8,5.98,28.19,53.19,False,Non-Ideal Conditions
"July 17, 2024",24.34,74.31,20.68,82.01,2.04,28.62,53.62,False,Non-Ideal Conditions
"July 18, 2024",20.44,81.11,21.06,86.9,0.15,28.83,53.83,False,Non-Ideal Conditions
"July 19, 2024",29.7,83.26,20.6,85.83,0.93,29.08,54.08,False,Non-Ideal Conditions
"July 20, 2024",21.44,88.27,22.89,97.45,4.03,29.34,54.34,False,Non-Ideal Conditions
"July 21, 2024",18.63,74.5,24.43,83.46,6.9,29.79,54.79,False,Non-Ideal Conditions
"July 22, 2024",18.13,76.3,21.58,94.55,4.69,30.01,55.01,False,Non-Ideal Conditions
"July 23, 2024",21.79,79.63,21.83,89.31,3.52,30.41,55.41,False,Non-Ideal Conditions
"July 24, 2024",30.05,77.27,20.67,96.66,4.49,30.69,55.69,False,Non-Ideal Conditions
"July 25, 2024",26.41,73.84,24.78,83.07,3.09,30.88,55.88,False,Non-Ideal Conditions
"July 26, 2024",21.49,66.7,21.77,82.82,2.19,31.18,56.18,False,Non-Ideal Conditions
"July 27, 2024",23.71,79.88,20.12,96.96,0.35,31.38,56.38,False,Non-Ideal Conditions
"July 28, 2024",27.28,89.61,22.2,99.53,9.85,31.71,56.71,False,Non-Ideal Conditions
"July 29, 2024",20.38,80.85,24.37,81.97,1.25,31.92,56.92,False,Non-Ideal Conditions
"July 30, 2024",19.86,67.24,21.48,91.06,6.8,32.31,57.31,False,Non-Ideal Conditions
"July 31, 2024",22.11,85.36,23.95,88.15,7.19,32.55,57.55,False,Non-Ideal Conditions
"August 1, 2024",28.02,70.36,21.36,83.85,6.38,32.99,57.99,False,Non-Ideal Conditions
"August 2, 2024",22.73,81.1,20.27,94.58,5.45,33.26,58.26,False,Non-Ideal Conditions
"August 3, 2024",18.1,89.93,22.52,83.94,0.51,33.66,58.66,False,Non-Ideal Conditions
"August 4, 2024",25.63,82.5,23.86,87.12,1.38,34.04,59.04,False,Non-Ideal Conditions
"August 5, 2024",27.93,82.98,23.54,93.68,6.74,34.25,59.25,False,Non-Ideal Conditions
"August 6, 2024",30.44,69.1,23.49,92.31,6.16,34.54,59.54,False,Non-Ideal Conditions
"August 7, 2024",20.64,69.82,23.27,95.42,4.39,34.91,59.91,False,Non-Ideal Conditions
"August 8, 2024",25.86,69.48,22.27,92.62,1.87,35.07,60.07,False,Non-Ideal Conditions
"August 9, 2024",21.44,77.73,21.01,83.55,1.93,35.25,60.25,False,Non-Ideal Conditions
"August 10, 2024",19.23,76.42,21.8,96.52,8.19,35.66,60.66,False,Non-Ideal Conditions
"August 11, 2024",23.84,72.58,24.5,90.29,7.11,35.82,60.82,False,Non-Ideal Conditions
"August 12, 2024",20.69,67.79,23.22,89.65,6.71,36.0,61.0,False,Non-Ideal Conditions
"August 13, 2024",24.63,73.14,23.76,99.4,3.12,36.29,61.29,False,Non-Ideal Conditions
"August 14, 2024",25.97,66.76,22.26,84.08,2.32,36.44,61.44,False,Non-Ideal Conditions
"August 15, 2024",30.75,71.32,20.83,84.25,8.56,36.7,61.7,False,Non-Ideal Conditions
"August 16, 2024",30.42,72.78,22.22,84.6,7.8,37.0,62.0,False,Non-Ideal Conditions
"August 17, 2024",19.69,86.35,23.44,93.43,8.56,37.36,62.36,False,Non-Ideal Conditions
"August 18, 2024",29.51,83.06,21.12,87.83,5.42,37.78,62.78,False,Non-Ideal Conditions
"August 19, 2024",25.24,67.19,23.04,93.05,6.39,38.03,63.03,False,Non-Ideal Conditions
"August 20, 2024",20.8,80.86,20.93,83.0,2.57,38.47,63.47,False,Non-Ideal Conditions
"August 21, 2024",28.68,82.23,21.39,87.13,4.87,38.64,63.64,False,Non-Ideal Conditions
"August 22, 2024",22.11,68.72,23.35,85.68,5.57,38.8,63.8,False,Non-Ideal Conditions
"August 23, 2024",18.03,67.31,24.43,92.89,2.63,39.11,64.11,False,Non-Ideal Conditions
"August 24, 2024",23.98,79.86,24.9,94.32,7.7,39.56,64.56,False,Non-Ideal Conditions
"August 25, 2024",30.14,66.4,24.8,99.77,8.32,39.75,64.75,False,Non-Ideal Conditions
"August 26, 2024",20.83,76.14,24.26,90.8,2.4,40.1,65.1,False,Non-Ideal Conditions
"August 27, 2024",23.05,87.2,22.56,82.95,5.59,40.45,65.45,False,Non-Ideal Conditions
"August 28, 2024",28.99,83.33,24.59,97.6,8.54,40.63,65.63,False,Non-Ideal Conditions
"August 29, 2024",25.79,77.96,21.33,89.89,5.07,40.84,65.84,False,Non-Ideal Conditions
"August 30, 2024",25.93,83.64,20.45,98.58,10.0,41.12,66.12,False,Non-Ideal Conditions
"August 31, 2024",31.0,76.36,22.79,90.2,9.48,5.0,66.44,True,Non-Ideal Conditions
"September 1, 2024",27.62,84.75,24.68,84.03,3.19,5.04,30.04,False,Non-Ideal Conditions
"September 2, 2024",27.19,72.38,21.48,94.36,8.0,5.08,30.08,False,Non-Ideal Conditions
"September 3, 2024",21.95,65.01,24.18,89.59,4.0,5.17,30.17,False,Non-Ideal Conditions
"September 4, 2024",21.8,77.38,23.53,91.9,1.6,5.2,30.2,False,Non-Ideal Conditions
"September 5, 2024",20.01,87.1,22.31,91.45,0.99,5.24,30.24,False,Non-Ideal Conditions
"September 6, 2024",18.5,85.07,22.34,93.7,2.82,5.31,30.31,False,Non-Ideal Conditions
"September 7, 2024",22.48,85.83,23.26,98.88,7.29,5.4,30.4,False,Non-Ideal Conditions
"September 8, 2024",18.01,85.53,22.41,92.72,8.33,5.44,30.44,False,Non-Ideal Conditions
"September 9, 2024",21.48,78.31,22.02,91.29,2.36,5.51,30.51,False,Non-Ideal Conditions
"September 10, 2024",19.77,86.91,23.3,83.31,6.63,5.59,30.59,False,Non-Ideal Conditions
"September 11, 2024",21.93,82.02,24.66,86.92,9.71,5.66,30.66,False,Non-Ideal Conditions
"September 12, 2024",27.12,65.17,21.12,82.13,6.44,5.7,30.7,False,Non-Ideal Conditions
"September 13, 2024",28.94,66.84,22.98,84.86,4.52,5.75,30.75,False,Non-Ideal Conditions
"September 14, 2024",24.3,81.46,21.1,89.55,8.31,5.82,30.82,False,Non-Ideal Conditions
"September 15, 2024",18.44,72.32,21.95,81.66,6.92,5.9,30.9,False,Non-Ideal Conditions
"September 16, 2024",21.27,87.56,22.7,82.29,1.28,5.99,30.99,False,Non-Ideal Conditions
"September 17, 2024",23.47,68.79,21.98,94.02,6.85,6.06,31.06,False,Non-Ideal Conditions
"September 18, 2024",25.49,70.57,23.22,97.92,5.93,6.09,31.09,False,Non-Ideal Conditions
"September 19, 2024",19.04,81.03,22.22,99.18,3.64,6.15,31.15,False,Non-Ideal Conditions
"September 20, 2024",20.61,73.1,20.84,87.35,0.36,6.19,31.19,False,Non-Ideal Conditions
"September 21, 2024",27.55,79.48,22.72,86.89,4.89,6.26,31.26,False,Non-Ideal Conditions
"September 22, 2024",22.53,73.26,22.15,96.25,9.57,6.32,31.32,False,Non-Ideal Conditions
"September 23, 2024",25.06,83.77,20.83,94.89,4.12,6.37,31.37,False,Non-Ideal Conditions
"September 24, 2024",19.41,68.74,22.33,84.99,5.84,6.42,31.42,False,Non-Ideal Conditions
"September 25, 2024",19.19,72.02,24.96,93.05,9.04,6.5,31.5,False,Non-Ideal Conditions
"September 26, 2024",28.57,65.64,23.98,81.71,0.39,6.58,31.58,False,Non-Ideal Conditions
"September 27, 2024",18.29,80.15,22.31,85.66,2.4,6.64,31.64,False,Non-Ideal Conditions
